项目编号,项目名称,首席申请机构,批准资金
ARD/131,"鋰离子电池用高容量富鋰正级材料","香港应用科技研究院",HK$ 2,710,000
ARD/159,"嵌入式系统的系统级虚拟样机","香港应用科技研究院",HK$ 2,799,000
ART/134CP,"智能全方位出光型LED球泡灯","香港应用科技研究院",HK$ 5,330,200
ART/145CP,"消费性电子產品使用嵌入式鋰离子电池之高电容阳极","香港应用科技研究院",HK$ 5,909,998
ART/185CP,"先进高能量密度鋰离子电池富鋰正极材料","香港应用科技研究院",HK$ 8,616,500
ART/356CP,"高效新能源能量存储系统","香港应用科技研究院",HK$ 10,432,225
ART/375CP,"适用於兆瓦级储能应用的高可靠性及高效率储能变流系统（H2CS）","香港应用科技研究院",HK$ 10,780,100
ART/377CP,"应用於直流电网的高效混合系统","香港应用科技研究院",HK$ 9,418,500
ART/381CP,"用於储能电站的先进储能模组","香港应用科技研究院",HK$ 9,193,100
ART/395CP,"用於住宅至商业等级的混合电网虚拟发电厂V2G电动车充电系统","香港应用科技研究院",HK$ 9,773,850
ART/401CP,"低成本碳化硅衬底","香港应用科技研究院",HK$ 9,499,000
ART/413CP,"跨配电变压器的柔性直流电源系统（FDCX）","香港应用科技研究院",HK$ 10,000,000
ART/414CP,"实现多端直流电网共享的固态变压器","香港应用科技研究院",HK$ 9,883,675
B/E001/15,"海洋波浪能量转换系统","Finima Innovations Company Limited",HK$ 5,017,707
B/E008/16,"使用SiOx/C复合负极材料开发快充型鋰离子电池","GP Batteries International Limited",HK$ 4,235,085
B/E034/16,"高效能玻璃发热器在工业，汽车及健疗上的研发及商品化应用","高新材料企业有限公司",HK$ 3,436,380
B/E023/19,"The creation of safe battery with high energy and power density","盈保先进科技有限公司",HK$ 6,087,910.93
B/E048/19,"""高分辨率数值天气预报""商业服务平台--污染控制服务作為案例","联科集团(中国)有限公司",HK$ 4,041,500
B/E004/20,"研发先进的正极及负极材料, 以製造一广阔使用温度范围的镍氢电池","GP Technology &amp; Innovation Limited",HK$ 5,450,015.5
B/E023/20,"氧聚解空气处理技术改进和高效医用挥发性有机物处理设备开发","信山实业有限公司",HK$ 3,263,925
B/E040/20,"开发用於生活热水的环保型空气源高温热泵","恆丰工程(香港)有限公司",HK$ 940,970
B/E021/21,"研发新型微型涡轮技术应用於冷气和发电机系统以缓和全球暖化问题","阳光超人空调有限公司",HK$ 3,582,750
B/E006/22,"CPAS全球模式下之重点城市极端天气预报: 技术发展与落地","联科集团(中国)有限公司",HK$ 4,837,865
