title,publish_time,bid_type,detail_url,page_index,crawl_time
中国二冶集团黄码港智慧仓储物流中心项目—智慧冷链工程（EPC）桩基工程专业分包,2026-04-10,招标公告,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=1880644966621376,1,2026-04-11 08:11:52
中国二冶G322莲花富民至寨里段新建工程一标段项目路基一标劳务分包招标中标候选人公示,2026-04-10,候选公示,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=20260401168,1,2026-04-11 08:11:52
中冶铜锌山达克项目钢材采购公开招标中标候选人公示,2026-04-10,候选公示,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=20260401108,1,2026-04-11 08:11:52
青海盐湖镁业有限公司DMTO&PP厂透明复合助剂1项物资招标文件（自）,2026-04-10,招标公告,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=1879290986365152,1,2026-04-11 08:11:52
青海盐湖元品化工有限责任公司乙炔厂N-甲基吡咯烷酮1项物资招标文件（自）,2026-04-10,招标公告,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=1879238649946592,1,2026-04-11 08:11:52
 青海盐湖镁业有限公司甲醇厂气化车间磨煤机委外维修采购项目延期公告,2026-04-10,澄清公告,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=2026040347,1,2026-04-11 08:11:52
热解系统装置设备供货及服务,2026-04-10,招标公告,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=1880912735863648,1,2026-04-11 08:11:52
中国五冶S308天全县兴业（荥经界）至两河口段改建项目临设工程中标候选人公示,2026-04-10,候选公示,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=20260401213,1,2026-04-11 08:11:52
中国二十冶建设安装公司广州市增城区智达星空科技项目工艺暖通工程,2026-04-10,资格预审,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=2026041426,1,2026-04-11 08:11:52
中国二十冶建设安装公司广州市增城区智达星空科技项目变配电工程专业分包招标,2026-04-10,资格预审,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=2026041418,1,2026-04-11 08:11:52
中国五冶起步区第五组团大学城配套一期项目三标段项目幕墙、干挂石材工程四标段,2026-04-10,资格预审,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=2026040919,1,2026-04-11 08:11:52
中国二冶集团冶金公司北方稀土二期萃取B厂房、SEG萃取分离厂房工程项目第五批次钢材招标,2026-04-10,招标公告,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=1878667717468320,1,2026-04-11 08:11:52
中国五冶资阳市第一人民医院改扩建项目消防工程二批次,2026-04-10,资格预审,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=2026041037,1,2026-04-11 08:11:52
中国五冶（河北唐山）开平区陡河水库库区村庄道路及饮水设施改造提升项目成本控制服务,2026-04-10,资格预审,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=2026041270,1,2026-04-11 08:11:52
郑州新郑综合保税区恒丰电子产业园五栋厂房定制改造项目G03#厂房安装劳务工程,2026-04-10,资格预审,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=2026041428,1,2026-04-11 08:11:52
中国五冶济南市天桥区王炉北辛片区市政道路项目沥青混凝土中标候选人公示,2026-04-10,候选公示,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=20260401118,1,2026-04-11 08:11:52
长远新能源改造项目闭式气流粉碎机招标采购,2026-04-10,招标公告,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=1880829679821088,1,2026-04-11 08:11:52
中冶天工天津有限汉津阳光城三期EPC工程防水工程1标段中标候选人公示,2026-04-10,候选公示,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=20260401218,1,2026-04-11 08:11:52
二十二冶浙江公司中国电信长三角国家枢纽嘉兴算力中心项目一期（B6厂房（6号算力中心）等）分包招标第0003号招标公告,2026-04-10,招标公告,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=1878605243645984,1,2026-04-11 08:11:52
二十二冶浙江公司中国电信长三角国家枢纽嘉兴算力中心项目一期（B6厂房（6号算力中心）等）分包招标第0002号招标公告,2026-04-10,招标公告,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=1878605244719136,1,2026-04-11 08:11:52
五矿二十三冶建设集团有限公司2026-2027年度门窗幕墙工程铝型材集中采购,2026-04-10,澄清公告,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=2026040350,1,2026-04-11 08:11:52
花源街道119亩地块项目（一标段）石膏砂浆采购,2026-04-10,招标公告,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=1880645449162976,1,2026-04-11 08:11:52
宜宾市创城城市开发有限公司翠云境建设项目一批次党校土建成本控制服务,2026-04-10,招标公告,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=1870913157898624,1,2026-04-11 08:11:52
中国五冶贵阳兴竹-白云龚家寨065地块项目总承包工程爬架租赁中标候选人公示,2026-04-10,候选公示,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=20260401217,1,2026-04-11 08:11:52
株钻公司2026年度物业管理服务,2026-04-10,招标公告,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=1880838344040608,1,2026-04-11 08:11:52
郑州新郑综合保税区恒丰电子产业园五栋厂房定制改造项目G03#厂房装修装饰工程,2026-04-10,资格预审,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=2026041423,1,2026-04-11 08:11:52
中国一冶集团有限公司河南分公司郑州航空港区优信及富士康扩产项目一标段工程总承包项目水箱、水泵及气罐招标（83-CG2026-050A）,2026-04-10,招标公告,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=1878561117389088,1,2026-04-11 08:11:52
中国一冶集团有限公司河南分公司郑州航空港区优信及富士康扩产项目一标段工程总承包项目洁具招标（83-CG2026-048A）,2026-04-10,招标公告,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=1878501219082688,1,2026-04-11 08:11:52
中冶天工天津有限龍发·云麓書苑建设项目桩基工程,2026-04-10,招标公告,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=1880135258185760,1,2026-04-11 08:11:52
鄂托克前旗31.4万千瓦全额自发自用项目（21.4万光伏部分）光伏区施工劳务分包（标段一）采购,2026-04-10,澄清公告,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=2026040342,1,2026-04-11 08:11:52
鄂托克前旗31.4万千瓦全额自发自用项目（21.4万光伏部分）光伏区施工劳务分包（标段二）采购,2026-04-10,澄清公告,https://ec.minmetals.com.cn/open/homepage/zbs/detail?bm=2026040344,1,2026-04-11 08:11:52
