announcementId,announcementType,announcementTitle,announcementSystem,announcementUrl,businessInfo,sortnumber,creatorid,creator,editorid,editor,createtime,edittime,activetime,announcementHtml,companyName,tenderNo,beginTime,endTime,businessIdInFlag,businessIds,annTyyhId,newFlag,hotFlag
12878648,107,华能甘肃公司兰州新区热电公司2026年度公务车辆维修及保养项目（D）变更询比采购公告,102,,,0,,API平台,,,1775860585000,,1776132000000,,,,,,none,,,True,False
12878647,107,华能甘肃公司西固分公司2026年度公务车辆维修及保养项目（D）变更询比采购公告,102,,,0,,API平台,,,1775860533000,,1776132000000,,,,,,none,,,True,False
12878645,107,昌江核电8AL化学实验室环境指标相关设备补充采购项目询比采购公告,102,,,0,,API平台,,,1775830702000,,1776232800000,,,,,,none,,,True,False
12878640,107,华能海南昌江核电有限公司2026年仓储运输车辆（二次询比）采购项目询比采购公告,102,,,0,,API平台,,,1775829455000,,1776232800000,,,,,,none,,,True,False
12878638,107,班组长管理能力提升培训班外委课程采购询比采购公告,102,,,0,,API平台,,,1775828170000,,1776139200000,,,,,,none,,,True,False
12878627,107,华能北方内蒙古北联电能源开发有限责任公司吴四圪堵煤矿宿舍楼有线高清数字电视服务项目询比采购公告,102,,,0,,API平台,,,1775816739000,,1776241800000,,,,,,none,,,True,False
12878626,107,华能北方内蒙古库布齐沙漠送电上海工程（配套）煤电项目先行用地相关资料编制服务询比采购公告,102,,,0,,API平台,,,1775816524000,,1776137400000,,,,,,none,,,True,False
12878625,107,华能北方内蒙古和林发电有限责任公司华能e学与班组建设培训项目询比采购公告,102,,,0,,API平台,,,1775815916000,,1776241800000,,,,,,none,,,True,False
12878624,107,华能北方和林(1320MW)660MW灰场工程土地报批服务询比采购公告,102,,,0,,API平台,,,1775815796000,,1776241800000,,,,,,none,,,True,False
12878622,107,华能北方内蒙古北联电能源开发有限责任公司吴四圪堵煤矿互联网专线和数据专线服务询比采购公告,102,,,0,,API平台,,,1775815685000,,1776241800000,,,,,,none,,,True,False
