标题,场次名称,城市,时间,状态,最低价格,分类,演出ID
周深2026「深深的」巡回演唱会,【广州】周深2026「深深的」巡回演唱会–广州站,广州站,04.18-04.19,预订中,,演唱会,69ad226425b8e000013582f3
周深2026「深深的」巡回演唱会,【武汉】周深2026「深深的」巡回演唱会-武汉站,武汉站,05.02-05.03,预订中,,演唱会,69ad2e49ee69bd00010026f7
周深2026「深深的」巡回演唱会,【苏州】周深2026「深深的」巡回演唱会-苏州站,苏州站,05.16-05.17,暂未开售,,演唱会,69ad263c25b8e0000135863e
周深2026「深深的」巡回演唱会,【重庆】周深2026「深深的」巡回演唱会–重庆站,重庆站,05.30-05.31,暂未开售,,演唱会,69ad367ae07348000197a6a1
【郑州】汪苏泷2026「明日世界」世界巡回演唱会-郑州站,【郑州】汪苏泷2026「明日世界」世界巡回演唱会-郑州站,郑州市,2026.05.01 - 05.10,PRESALE,¥380起,演唱会,69c4faf40cc7ca000172ea66
【成都】Evolution Nic live谢霆锋进化演唱会-成都站,【成都】Evolution Nic live谢霆锋进化演唱会-成都站,成都市,2026.05.02 - 05.03,PRESALE,¥380起,演唱会,69a64c2f9279e50001f6b7d6
【北京】2026张杰 未·LIVE—「开往1982」演唱会-北京站,【北京】2026张杰 未·LIVE—「开往1982」演唱会-北京站,北京市,2026.04.09 - 04.19,ONSALE,¥380起,演唱会,69886a4d3edb750001fae074
【北京】2026『崔健』“继续撒点野”演唱会-北京站,【北京】2026『崔健』“继续撒点野”演唱会-北京站,北京市,2026.05.09 - 05.10,PRESALE,¥388起,演唱会,69a5025100b89e00012c8eec
【广州】声生不息演唱会·广州站,【广州】声生不息演唱会·广州站,广州市,2026.04.18 19:30,PENDING,¥380起,演唱会,699fbe189279e50001f15448
【深圳】凤凰传奇“吉祥如意”巡回演唱会-深圳站,【深圳】凤凰传奇“吉祥如意”巡回演唱会-深圳站,深圳市,2026.04.24 - 05.04,PRESALE,¥380起,演唱会,69a01f319279e50001f1fbb0
【武汉】郑润泽「旷野」2026巡回演唱会-武汉站,【武汉】郑润泽「旷野」2026巡回演唱会-武汉站,武汉市,2026.04.25 19:00,PRESALE,¥398起,演唱会,696736ed2021120001cf6f50
【南京】2026Ella陈嘉桦It's Me艾拉主意巡回演唱会-南京站,【南京】2026Ella陈嘉桦It's Me艾拉主意巡回演唱会-南京站,南京市,2026.04.18 - 04.19,PENDING,¥280起,演唱会,699eb26633ad7e00016925eb
【广州】陈楚生“荒芜之境”2026巡回演唱会一广州站,【广州】陈楚生“荒芜之境”2026巡回演唱会一广州站,广州市,2026.05.16 19:00,PRESALE,¥380起,演唱会,69bd190cf69286000196d604
 【西安】凤凰传奇「吉祥如意」2026巡回演唱会-西安站, 【西安】凤凰传奇「吉祥如意」2026巡回演唱会-西安站,西安市,2026.05.15 - 05.17,PENDING,¥380起,演唱会,69ce335503c5c00001af07eb
【苏州】2026Ella陈嘉桦It's Me艾拉主意巡回演唱会-苏州站,【苏州】2026Ella陈嘉桦It's Me艾拉主意巡回演唱会-苏州站,苏州市,2026.05.02 - 05.03,PRESALE,¥280起,演唱会,69ba55b9d212530001c28682
